          Method |    1-2|    2-3|    3-4|    4-5|    5-6|    6-7|    7-8|    8-9|   9-10|  10-11|  11-12|  12-13|  13-14|  14-15|  15-16|  16-17|  17-18|  18-19|  error
           Lidar | 12.52 | 12.61 | 14.09 | 16.69 | 15.91 | 12.68 | 11.98 | 13.12 | 13.02 | 11.17 | 12.81 |  8.96 |  9.96 |  9.60 |  8.57 |  9.52 |  9.55 |  8.40 |     -
     AKAZE/AKAZE | 14.62 | 14.69 |  9.58 | 11.20 | 12.32 | 10.36 | 14.13 |  8.62 | 13.55 | 12.34 | 10.86 | 15.10 |  7.44 | 10.14 |  4.93 |  9.62 |  7.47 |  5.05 |  3.17
     AKAZE/BRIEF | 14.29 | 10.99 | 14.36 | 15.52 | 11.72 | 12.72 | 10.29 | 10.00 | 12.66 | 12.83 |  6.71 |  9.83 |  9.75 |  8.71 |  8.17 | 10.20 |  7.13 |  9.11 |  2.19
     AKAZE/BRISK | 11.59 | 15.63 | 12.68 | 15.24 | 10.00 | 18.15 | 15.66 | 10.07 | 10.41 | 13.66 |  9.64 |  9.73 |  8.65 |  8.97 |  7.74 |  6.70 | 12.44 |  8.86 |  2.84
     AKAZE/FREAK |  8.21 |  9.54 |  8.52 |  7.94 | 13.30 | 10.91 |  9.49 |  9.17 |  9.57 | 10.53 |  8.68 |  9.85 |  8.44 |  8.38 |  4.23 |  6.15 | 13.08 |  7.17 |  3.69
       AKAZE/ORB | 11.41 | 16.06 |  9.91 | 11.29 | 13.34 | 11.71 | 14.67 | 12.06 | 12.50 |  8.26 |  9.01 | 10.70 |  9.64 |  9.82 |  6.85 |  8.15 |  7.75 |  8.29 |  2.47
      AKAZE/SIFT |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     -
     BRISK/BRIEF |  0.12 |  1.08 |  6.77 |  3.67 |  2.55 |  5.65 |  4.67 |  1.82 | 15.39 |  5.38 |  6.87 |  7.81 |  6.20 |  3.62 |  5.43 |  4.60 |  5.40 |  5.43 |  7.83
     BRISK/BRISK |  0.89 |  9.00 |  3.30 |  3.76 |     - |  3.92 | 10.17 |  4.94 | 10.84 |  4.51 |  5.47 |  4.58 |  3.78 |  5.70 |  6.71 | 11.44 |  5.11 |  6.64 |  7.78
     BRISK/FREAK |     - |  2.85 |  2.73 |  4.28 |  6.62 |  6.43 |  6.36 |  6.81 |  1.31 |  6.60 | 11.90 |  2.59 |  6.83 |  7.12 |  5.84 |  4.74 |  4.44 |  6.38 |  7.72
       BRISK/ORB |  1.95 |  4.41 |  5.23 |  4.80 |  2.41 |  3.32 |  6.22 |  3.18 | 11.74 |  4.45 |  5.01 |  4.32 |  7.42 |  1.86 |  3.58 |  5.80 |  4.17 |  3.93 |  7.76
      BRISK/SIFT |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     - |     -
